Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets Ago
0.0,Sun Oct 14 17:46:02 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","CNN's @brianstelter: The President has been chatty lately, holding pressers and interviews on Air Force One. The re… https://t.co/jjtatsvKoZ",265
-0.5106,Sun Oct 14 17:30:07 +0000 2018,0.562,0.305,0.133,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",A city honors the victims of the limo crash in upstate New York over 4 days of funerals https://t.co/EosC6UJRmb https://t.co/VtcjUt4rCQ,266
-0.4019,Sun Oct 14 17:15:07 +0000 2018,0.828,0.172,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Exit poll in Germany's Bavaria spells trouble for German Chancellor Angela Merkel https://t.co/r7jCYwtdcA https://t.co/1tXX1jUFsx,267
0.0,Sun Oct 14 17:01:46 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Melania Trump and Michelle Obama have had arresting turns in the spotlight recently, showing just how different two… https://t.co/C5c2hSBWAK",268
0.7579,Sun Oct 14 16:50:27 +0000 2018,0.667,0.0,0.333,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","On National Dessert Day, check out these beloved sweets that preserve sugar's history https://t.co/9KtU1iPQuu https://t.co/eCOdORMDTe",269
0.0,Sun Oct 14 16:39:01 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Campaign ads are talking more about immigration. Here's what we can learn from them: https://t.co/sZ3olJtTE0 https://t.co/Vp4SYGfXrV,270
-0.7184,Sun Oct 14 16:23:52 +0000 2018,0.739,0.261,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Any US sanctions over missing journalist Jamal Khashoggi would ""stab its own economy to death,"" says Turki Aldakhil… https://t.co/b7Ki0Xj9Ix",271
0.4215,Sun Oct 14 16:01:08 +0000 2018,0.859,0.0,0.141,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","In Switzerland, an ice grotto carved into the Rhône Glacier has been a popular tourist destination over a century,… https://t.co/KWwsAeRy4W",272
-0.296,Sun Oct 14 15:55:13 +0000 2018,0.901,0.099,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","This Kentucky mother expected answers after her son, who has autism, came home from school covered in cuts and brui… https://t.co/di2hMe2ozg",273
0.0,Sun Oct 14 15:24:49 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",This baby could become the youngest person to travel to all 50 states. She's only 5 months old.… https://t.co/KU620MxHFu,274
0.0,Sun Oct 14 15:01:07 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Astronomers witness the birth of a binary star system for the first time https://t.co/eRHihuHqRV https://t.co/RJvP4MCD53,275
-0.5423,Sun Oct 14 14:37:15 +0000 2018,0.829,0.171,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",.@FareedZakaria on the Trump administration’s China policy: “Labeling of China as the enemy would be a seismic shif… https://t.co/DNryjCxEBk,276
0.6369,Sun Oct 14 14:31:00 +0000 2018,0.704,0.0,0.296,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","""Swimming pigs"" frolic in paradise at this Bahamas beach https://t.co/EtPWaJA0FD https://t.co/RS622Zz37S",277
0.0,Sun Oct 14 14:14:11 +0000 2018,1.0,0.0,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @CNNSotu: .@marcorubio to @jaketapper on Secretary Mnuchin attending economic summit in Saudi Arabia: ""I don't think we should continue…",278
-0.2023,Sun Oct 14 14:04:41 +0000 2018,0.893,0.107,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Georgia governor nominee Stacey Abrams slams her GOP opponent suggesting he’s using a controversial verification la… https://t.co/sJTDL2EvGp,279
0.2716,Sun Oct 14 13:50:35 +0000 2018,0.913,0.0,0.087,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",“We have three weeks to go on in the most important midterm election in the history of this country. And I think th… https://t.co/nLojfNu9R8,280
0.0,Sun Oct 14 13:32:11 +0000 2018,1.0,0.0,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @CNNnewsroom: “Its going to be a while.” Republican Senator @marcorubio tells @jaketapper that #HurricaneMichael recovery is going well,…",281
0.0,Sun Oct 14 13:31:00 +0000 2018,1.0,0.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","The A45 tiny home, designed by world-renowned architect Bjarke Ingels, features high-end details on the smallest sc… https://t.co/cC0HpdGwgl",282
0.2023,Sun Oct 14 13:27:01 +0000 2018,0.776,0.095,0.129,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Rubio on Trump’s response on the missing Saudi journalist Jamal Khashoggi: “I’m glad the President didn’t tie his h… https://t.co/mnDziXoYww,283
