Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets Ago
0.6369,Sun Oct 14 09:01:02 +0000 2018,0.819,0.0,0.181,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",🎶🖼 Artist @Katrina_McHugh has been turning some of music's best known lyrics into diagrams... and the results are q… https://t.co/vLFcUBhZK0,53
0.4939,Sun Oct 14 08:03:01 +0000 2018,0.814,0.0,0.186,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",🎭👂 Exciting new tech could open up the theatre for deaf and hard-of-hearing people. https://t.co/fJrMTNmldk,54
0.0,Sun Oct 14 07:05:05 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Sometimes a waterfall doesn't quite fall! https://t.co/BZoedne0RX,55
0.0,Sat Oct 13 19:18:05 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","😲🖼 A woman who bought a Banksy painting for more than £1m will keep the artwork, despite it self-destructing after… https://t.co/sM3Orxua7p",56
-0.4588,Sat Oct 13 18:07:03 +0000 2018,0.733,0.267,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Guz Khan - the no-nonsense teacher, mugging off kids with 'serious problems' 🤣
#LiveAtTheApollo https://t.co/ZP07p9hLWf",57
0.0,Sat Oct 13 18:05:11 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BBC6Music: Which album(s) are your cueing up on #NationalAlbumDay?

6 Music have joined in the 70th birthday celebrations of the album.…",58
0.0,Sat Oct 13 17:04:01 +0000 2018,0.68,0.16,0.16,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Can coding lessons free these women prisoners in Kenya from the cycle of re-offending?
#BBCInnovators https://t.co/m7bwNemq1j",59
0.0,Sat Oct 13 16:05:04 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","This plastic washing-up liquid bottle that's at least 47 years old has been found on a beach in Somerset looking ""a… https://t.co/JPyIbIv9hm",60
0.2942,Sat Oct 13 15:23:58 +0000 2018,0.901,0.0,0.099,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @BBCScotland: Sometimes a waterfall doesn't quite fall! Chris Martin caught Storm Callum blowing this one straight back up the cliff at…,61
0.8126,Sat Oct 13 15:06:07 +0000 2018,0.598,0.0,0.402,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","When your least reliable friend thinks they give the best advice... 🙄
#TheMashReport https://t.co/gawmydFATL",62
